[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
the	ability to grow	is a kind of		trait								0d2a-34ad-e231-a167
the	ability to reflect off of a surface	is a kind of		characteristic							Move to PropertiesGeneric?	cc0c-1716-b089-2d07
	absorbing	is a kind of		function								8a87-904f-85e9-deb5
an	acorn	is a kind of		seed								5bfa-ddb1-fcd5-0079
an	adaptation	is a kind of		change								e408-b84f-10e9-cf17
an	adaptation	is a kind of		characteristic								da2b-fb92-41aa-b359
	adding	is a kind of		activity								5663-a8e3-1f5e-df3e
	adding something	is a kind of		change								1a46-09fd-bf55-7001
	air	is a kind of		gas								70ac-58d8-10b4-1313
	air	is a kind of		matter								0b2c-f8af-7823-d253
	air	is a kind of		medium	for	light						ac9a-6d31-d96f-51cd
an	airplane	is a kind of		vehicle								182e-6373-acc4-bde3
an	algae	is a kind of		organism								28d3-fb60-bdd3-d10c
an	alligator	is a kind of	aquatic	animal								5086-b21f-9f0a-e67d
the	Alps	are a kind of	mountain	range								7056-db73-6d86-2bf1
	aluminum	is a kind of		element								4c25-b5f8-13bf-6b86
	aluminum	is a kind of		matter								26a1-5a20-e241-28f1
	aluminum	is a kind of		metal								a580-1b9e-6ec9-a275
	aluminum	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	f5e4-ab86-f5de-6a5f
an	amoeba	is a kind of	single-celled	organism								ab12-f588-a1af-90a0
an	amphibian	is a kind of		animal								3740-c11d-832c-96f2
an	amphibian	is a kind of		vertebrate								0b44-0582-f4ba-58c2
an	anemometer	is a kind of		instrument	for	measuring wind speed						ad64-e231-181e-0684
an	animal	is a kind of		consumer								c799-dee0-451a-dd60
an	animal	is a kind of		living thing								bb63-bcc5-0cd8-72db
an	animal	is a kind of		living thing							Duplicate. All uses deleted.	34b7-df26-54b7-5ad8
an	animal	is a kind of		organism								10ce-c060-90b9-b748
an	animal cell	is a kind of		cell								2702-7db2-6eb1-e03f
an	ant	is a kind of		insect								5079-3873-b0ab-85a3
the	Appalachian Mountains	are a kind of		mountain								4a96-2fb6-33e3-a914
the	Appalachians	are a kind of	mountain	range								b2a3-bc18-29f0-d92b
an	apple	is a kind of		fruit								440e-272e-8e84-6b1e
an	apple	is a kind of		fruit							Duplicate. All uses deleted.	d3b7-af44-8672-5eeb
an	apple tree	is a kind of		plant								00a7-56fc-3c22-e6f2
an	aquatic animal	is a kind of		animal								b80f-f372-967d-6ac4
an	arch	is a kind of		land formation								0c28-b3cd-bb77-d385
the	arctic	is a kind of		environment								c7b7-2fdc-e793-309e
the	arctic 	is a kind of		environment							Duplicate. All uses deleted.	9097-513f-034b-0454
the	Arctic Ocean	is a kind of		ocean								66b8-769e-1915-e8a1
an	Arizona mountain king snake	is a kind of		snake								d5fd-46c9-0da1-cd27
an	arm	is a kind of		limb								a93c-2971-18d2-ebed
an	article of clothing	is a kind of		object								3d61-550e-57ae-b045
	asphalt	is a kind of		road surface								b093-b6c0-74b9-27c2
	astronomy	is a kind of		branch				of science				6932-0017-f9ba-bd0e
the	atmosphere	is a kind of		area								dcb8-493b-65be-44b6
an	atom	is a kind of		object								9863-d20e-e589-510a
	attracting	is a kind of		function; activity								3876-3549-b081-abe3
	August	is a kind of		month								8fbd-c9cc-fe18-e80c
the	automobile	is a kind of		technology								f8ad-6ff2-e6fa-3dee
an	automobile	is a kind of		vehicle								7cb7-40ac-f4d5-eb6c
	Autumn	is a kind of		season								2526-2b72-2cb0-0beb
	avoiding	is a kind of		defense								ac40-1cc5-4994-7922
	avoiding predators; escaping predators; avoiding consumers	is a kind of		protection				Move to PREDATOR-PREY.				9a54-14e7-f8f4-6375
	away	is a kind of		direction								61be-4253-9acc-ea77
a	baby	is a kind of	young	animal								9821-0c40-6f55-0b6d
a	bacterium	is a kind of		decomposer								8c18-8f91-c1ab-742b
a	bacterium	is a kind of		organism								6cd3-9d8e-f58c-d4fc
a	bad reaction to medicine	is a kind of		problem								0de5-48b7-1fb5-acbb
a	balance	is a kind of		instrument	for	measuring mass; measuring weight						fad5-a6d6-cfd6-b9ed
	balancing a ball on one's nose	is a kind of		trick								c2b0-bd30-2dc8-376e
a	ball	is a kind of		object								5650-b213-46ea-d9dd
a	balloon	is a kind of		object								93a8-6f1f-f6e7-e5bc
	bark	is a kind of		sound								74e3-5983-4e66-f53f
a	barometer	is a kind of		instrument							Duplicate. All uses deleted.	51b6-c325-850e-8a22
a	barometer	is a kind of		instrument	for	measuring air pressure						ab9f-bddf-b450-6260
a	bat	is a kind of		animal								7ca2-740e-37f4-0a9e
a	bat	is a kind of		mammal								4e61-2891-e675-3f88
a	battery	is a kind of		object								7149-5022-cd2c-b375
a	beach	is a kind of		habitat; environment								2913-c482-da7e-b2f6
a	beach	is a kind of		location								7a02-3c43-f89e-8b50
a	bean plant	is a kind of		plant								7881-6f75-7de9-2722
a	bear	is a kind of		animal								5639-8136-4788-3ee6
	bedrock	is a kind of		rock								e9d6-4c3d-84ba-0cd0
a	behavior	is a kind of		characteristic								de41-df04-573b-7370
	being made of something	is a kind of		feature							Low quality. All uses deleted.	f1e7-dfb5-ae92-40cc
	being sick	is a kind of		problem; harm								d509-052f-82a6-4c52
a	berry	is a kind of		fruit								0d28-7059-bcd4-0859
a	beverage	is a kind of		food								879e-75ee-34d3-b880
a	beverage	is a kind of		liquid								c06c-117e-c8e2-2750
a	bicycle	is a kind of		object								ab39-00a1-7fb7-b1d1
a	bicycle	is a kind of		vehicle								b019-cdb9-47c8-1c40
	binoculars	are a kind of		instrument	for	observing distant objects						5009-5661-5c6a-ec21
a	biofuel	is a kind of	alternative	energy resource								3352-8265-75b0-3355
a	bird	is a kind of		animal								e26b-b21d-d4a3-25fc
a	bird	is a kind of		animal							Duplicate. All uses deleted.	7f52-3b15-ed6e-171a
a	bird	is a kind of		living thing								c2ef-566c-c356-778f
	birds	are a kind of		predator							Moved to PREDATOR-PREY	5cc8-699f-54e8-acb7
	black	is a kind of		color								7892-f43a-8f12-2a8d
a	black-eyed Susan wildflower	is a kind of		flower								ba0c-9558-8ad1-d90d
a	block	is a kind of		object								aa85-b969-a168-ebce
a	block	is a kind of		object							Duplicate. All uses deleted.	7345-8be9-7302-3f50
	blubber	is a kind of		fat								e1b6-ff98-c47b-fd5a
	blue	is a kind of		color								da13-6af7-4533-d9ca
a	blue jay	is a kind of		bird								6350-c3b8-88a9-6c60
a	board	is a kind of		object								f2d9-9926-adab-4bb0
a	body of water	is a kind of		environment								3f9d-8b3a-54b5-6a3c
a	body of water	is a kind of	land	feature								6159-8c5f-9204-67b2
a	body part	is a kind of		object								6be1-b308-a82c-c599
	boiling	is a kind of		phase change								edd3-cea2-f046-e76f
a	book	is a kind of		object								f3e2-6d60-0293-35e4
a	bottle	is a kind of		container								a824-aa4b-d228-d7c7
a	boulder	is a kind of	large	rock								93f5-d52b-1446-d912
a	bowl	is a kind of		container								13f6-64dd-d4b6-6fec
a	boy	is a kind of	young male	human								e881-b28d-9433-c19d
a	brain	is a kind of	internal	organ								8e1c-a4f8-3938-b891
a	brake	is a kind of		object								5368-ccdf-d870-eae9
	brass	is a kind of		alloy								2843-571e-d3d2-d99d
	bread	is a kind of		food								08c1-496e-6ad5-5c13
	breaking down	is a kind of		forming								18c0-bb11-0330-ae2c
	breaking down	is a kind of		function								5c20-2524-068f-74f6
	breathing	is a kind of		process								daf3-3001-4bea-9034
a	brick	is a kind of		object								9615-0fc7-d7f5-487f
	bringing	is a kind of		action								df95-f9f1-8e21-6054
	bringing oxygen to the body	is a kind of		function								4043-728e-19d8-238d
	bringing substances to the body	is a kind of		function								2a76-307e-23d8-5e78
	brown	is a kind of		color								e864-93bd-18ea-8a13
a	bubble	is a kind of		object								6656-785f-dbd2-4c9b
a	bunting	is a kind of		bird								a9e5-5d52-2c62-c27d
a	burner	is a kind of		object; surface								a5ab-7b37-388a-1cd3
	burning	is a kind of		action								f056-ff9c-c044-c99a
	burying	is a kind of		hiding								dad1-ceed-5798-500e
a	bush	is a kind of		plant								311e-8d88-cde2-860d
	butter	is a kind of		solid					below 32 degrees celsius			e9ec-d6ef-e1a0-97fd
	butter	is a kind of		substance								e15d-0c5d-0e78-b5dc
a	butterfly	is a kind of		animal								f12e-5766-27fb-ebf8
a	butterfly	is a kind of		insect								1310-8acf-1fa5-d8db
a	butterfly	is a kind of		organism								847e-e7e6-d54e-e335
a	cactus	is a kind of		plant								aadb-cb93-3373-eefa
a	cake	is a kind of	baked	product								e2a9-870f-4d89-e4b8
a	calculator	is a kind of		tool								1c02-45a8-ac3d-d3e5
a	camel	is a kind of		animal								7c5c-d0bf-98c2-aab9
a	camera	is a kind of		tool	for	recording images						3d59-043d-faf2-a90e
	camouflage	is a kind of		adaptation	for	hiding		in an environment				c6ad-76f9-7f5c-33e0
	camouflage	is a kind of		protection				against predators; from predators; against consumers				39b9-9637-538d-0d33
a	camper	is a kind of		human								d57a-f3b8-87b3-73c6
a	campfire	is a kind of		fire								db8c-9eae-6023-0d7b
a	can	is a kind of		object								b85c-d197-cb03-a4f1
a	candle	is a kind of		object								95ea-5ab6-c735-8ce5
	candy	is a kind of		dessert								64b0-c692-7001-4ab6
a	canyon	is a kind of		landform								9391-2a1e-2e67-95b9
a	canyon	is a kind of		place								fa65-d947-a5a2-2d1f
a	car	is a kind of		object								fe6e-84fa-d289-aee9
a	car	is a kind of		vehicle								c1de-b3ef-e1c4-0087
	carbon dioxide	is a kind of		gas								96ff-31bb-ea13-9aff
	carbon monoxide	is a kind of		gas								1a38-d031-a283-b5aa
a	carbon monoxide detector	is a kind of		instrument	for	warning people that carbon monoxide is present		in a building				f68e-fb11-a7b3-a72e
	carnivores; omnivores	are a kind of		predator							Moved to PREDATOR-PREY	5ac1-2d58-618c-3cda
	carnivores; omnivores; herbivores	are a kind of		animal								c709-83dd-975c-b05d
	carpet	is a kind of		material								7c86-786b-68dd-de35
	carpooling	is a kind of		activity								7e0c-4aad-052d-7c9c
a	cat	is a kind of		animal								1700-a363-df25-ad34
a	cat	is a kind of		mammal								55b1-c3f1-bdb8-826d
	causing	is a kind of		affecting								9d53-7320-d186-07d9
	causing	is a kind of		function								da58-addb-0630-0b89
a	cavern	is a kind of	land	form								34ab-0980-7a15-537e
a	ceiling fan	is a kind of		fan								6637-e41b-2d15-bfdc
a	cell	is a kind of		object								8370-394e-7d79-4c14
	cellular respiration	is a kind of		process								57ee-2852-addc-6da0
a	centimeter	is a kind of		unit of measurement								cf45-38b5-9810-f308
	centuries	are a kind of		unit	for	measuring time						0d3e-321a-b845-8dd9
a	chair	is a kind of		object								9f4c-5487-7b35-f049
a	chameleon	is a kind of		lizard								5ba5-3b3b-be24-624e
a	change	is a kind of		effect							Moved to SYNONYMY	cc98-fc9c-ba53-97d4
a	change	is a kind of		event								3a14-9cd4-c11b-d164
	Charles Darwin	was a kind of		scientist								3f44-34c9-edee-9514
	chemical energy	is a kind of		energy								b043-79cc-a77e-e968
	chemical weathering	is a kind of		weathering								43fa-1bf5-c428-cfa5
a	chick	is a kind of	young; baby	chicken								01a2-8e37-b59a-23e3
a	chicken	is a kind of		bird								9ede-6c4b-43f2-6da3
a	child	is a kind of	young	human								61f9-cfd2-20f5-992d
a	chipmunk	is a kind of		mammal								5295-dcae-6915-29d4
	chlorophyll	is a kind of		pigment								ee81-d31b-b856-0729
	chocolate	is a kind of		solid				usually				858d-7f12-bc99-2177
a	circuit	is a kind of	electrical	component								e112-616e-e25b-4a79
a	city	is a kind of		location								b912-4b52-7e9c-0d4c
a	clam	is a kind of		aquatic animal								10ea-cf33-c978-c0fb
	classification	is a kind of		process								c45b-915d-6c55-4e69
	classifying	is a kind of	science	process								2188-2e33-82c8-5741
a	classroom	is a kind of		a room								93cb-4c9a-59c2-2cd0
	cloth	is a kind of		material								8e54-4d09-bc9f-bdd1
a	cloud	is a kind of		weather								213b-79e4-47ec-0581
a	cluck	is a kind of		sound								d7da-64da-dcb9-a4ff
	coal	is a kind of		fossil fuel								cab1-f3c3-59de-b682
	coal	is a kind of		fuel								bc22-ba46-53be-ea3a
	coal	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	2a93-fc4e-e52c-6897
	coal	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	2a93-fc4e-e52c-6897
	coal	is a kind of	black	rock							Moved to Proto-Properties-Things	ded4-82de-bd66-1648
	coal	is a kind of		rock								67fa-a478-80e1-8fef
	coal	is a kind of		sedimentary rock								ebfc-2409-7596-7174
a	coast	is a kind of		environment								fcf8-5a39-4b2d-ece2
a	coastal area	is a kind of		environment								1065-849d-5c96-0863
a	coin	is a kind of		object								8e61-1c71-239d-4814
	color	is a kind of	physical; visual	property								6903-1d34-3271-a6b8
the	Colorado River	is a kind of		river								9a9a-ea53-e57f-0e23
	coloration	is a kind of		adaptation	for	hiding;camouflage						ad2f-c1c6-5368-4fcd
	combustion	is a kind of	chemical	change								eaad-89d5-b78f-cf5a
	combustion	is a kind of	exothermic	reaction								c647-3cc8-d585-a196
a	comet	is a kind of	celestial	body								8357-d57c-5cff-b3ee
a	compass	is a kind of		object								68cd-53e7-7adb-0634
a	compass	is a kind of		tool	for	determining direction	by pointing north					a19f-27a1-7743-9769
	composition	is a kind of		property							Moved to Properties-Generic	7c91-2886-7fe7-1b47
a	computer	is a kind of		tool								da4f-8a91-c9d9-0eab
	condensing	is a kind of		process								7faf-cb37-05f2-3e08
	conducting	is a kind of		function								fe85-5892-7823-5d15
	conduction	is a kind of		process								6d44-6295-592b-4db9
	conductivity	is a kind of	physical	property								c41d-9ce9-3d44-e24a
	conserving water	is a kind of		characteristic								489a-467c-0138-cd62
a	container	is a kind of		object								299f-781c-ea28-9ce3
a	container with air holes in the top	is a kind of		tool								d6ad-b5b4-1186-0117
a	continent	is a kind of	large	land mass								070a-2fde-af8a-62a6
	contract	is a kind of		change				in volume				8969-68e2-987a-8b72
	controlling	is a kind of		function								52f6-322b-a00b-cf49
	convection	is a kind of		process								5608-9598-e60e-85b0
	cooking	is a kind of		skill	for	preparing food						02bb-bdf2-f936-d557
	cooling	is a kind of		process								241c-3fd6-32cd-10e3
	copper	is a kind of		metal								9cea-7fba-e1c5-f8b3
	coral	is a kind of		aquatic animal								1e73-7f0f-13b5-1523
	corn	is a kind of		crop								a75a-0651-9b8b-f087
	corn	is a kind of		plant								44b1-c2ab-2e0d-e5e5
	corn	is a kind of		seed								f50f-d47e-79e8-e25b
a	covering	is a kind of		object								3aa7-2278-0849-316b
	covering something	is a kind of		protection								3e42-533a-ed4d-c99b
a	cow	is a kind of		animal								7579-be94-da2b-b793
a	coyote	is a kind of		animal								1932-0d7e-562c-c466
a	crab	is a kind of	water	animal								0499-a475-56c4-8d43
a	crack	is a kind of		opening								4e89-3fff-95dc-573e
a	crater	is a kind of	land	feature								a2aa-4c08-9194-e2ef
	creating	is a kind of		activity								0092-b671-2f6c-9726
a	cricket	is a kind of		insect								5319-76bf-8c5d-657d
a	crop	is a kind of		food								afdc-23b1-2d30-e520
	crops	are a kind of	edible	plant	for	eating						281b-9541-e1c7-6c92
a	cup	is a kind of	drinking	container								b79e-666e-ccf1-f45c
	curiosity	is a kind of	human	quality								59db-5841-efaf-6ac5
	curling	is a kind of		behavior								41e5-6655-f98c-8696
a	cushion	is a kind of		object								4da3-61dc-91ef-b4ad
a	cut	is a kind of		wound								21ce-fb09-081b-a826
	cyan	is a kind of		color								cf7f-51fc-f20a-8384
a	cycle	is a kind of		process								4330-7381-9bed-2b75
	dairy	is a kind of		food								12e5-6d27-bff0-489c
a	daisy	is a kind of		flower								ed6a-03de-1756-b6bc
	damage	is a kind of		harm							Moved to Synonymy	0f3b-5283-e693-63fa
a	dandelion	is a kind of		flower								3b33-111c-c079-df38
	days	are a kind of		unit	for	measuring time						ec3f-17e4-7f87-3757
	decades	are a kind of		unit	for	measuring time						be17-2cad-5cc5-0f66
	december	is a kind of		month								28df-fece-46cf-e074
a	decomposer	is a kind of		living thing								8d39-8c01-d006-1326
a	decomposer	is a kind of		living thing							Duplicate. All uses deleted.	8dab-fa05-1ceb-e694
	decomposer	is a kind of		role				in the food chain process; in an ecosystem				ec9d-6fc5-9cb0-28db
	decomposition	is a kind of		process								94aa-c937-f092-7d88
a	decrease	is a kind of		change								a81f-882c-3627-408d
	decreasing	is a kind of		change							Duplicate (by lemmatizer). All uses deleted.	f1d7-fb01-7450-3eff
a	deep sea animal	is a kind of	marine	organism								ff7d-b137-62ff-567b
a	deer	is a kind of		animal								8cd7-84f7-76a1-1ba5
a	deer mouse	is a kind of		mouse								2c01-2721-96af-28e1
a	delta	is a kind of	geologic	structure; landform								ae9e-0641-6d10-e452
	deposition	is a kind of		constructive force								26ca-d196-e2c1-632c
	deposition	is a kind of	natural	process								45f5-854b-a9a9-d2e7
a	desert	is a kind of		environment								328a-8d46-1485-c3c3
a	desk	is a kind of		table								30aa-0d51-4be2-538d
a	dessert	is a kind of		food								d02f-8790-4fd9-da49
a	device	is a kind of		object								5e04-dbd6-f9b0-14b4
	dew	is a kind of		condensation								e96e-4426-7f92-f56d
	dew	is a kind of		liquid								06f4-8004-6e6f-4eab
	diamond	is a kind of		mineral								7e9a-fec3-cac8-51bb
a	diatom	is a kind of		organism								8794-bd63-7a55-f9fc
a	diatom	is a kind of		producer								f36b-4742-f196-9090
	digestion	is a kind of	bodily	process								c06c-630c-c3ed-e7a0
the	digestive system	is a kind of	body	system								9a31-6857-9a85-8828
a	dime	is a kind of		coin								7d18-5634-a307-8207
a	dinosaur	is a kind of	extinct	animal								9d97-04bc-21d3-bf27
a	dog	is a kind of		animal								c963-24b2-f50d-a21d
a	doorbell	is a kind of		bell								1c3a-3b86-ae06-715c
a	doorbell	is a kind of	electric	device								ac96-5db5-366c-b342
	down	is a kind of		direction								36e1-b93c-2ce0-866f
	down	is a kind of		small feather								58f2-80ea-9592-38a4
	down feathers	are a kind of		insulator							Moved to Prop-Conductivity	80f8-61b9-d6d9-202b
	down feathers	are a kind of		material								3240-c2c8-0748-1c2a
	downhill	is a kind of		direction								fc5c-acec-f27b-efbd
	downstream	is a kind of		direction				in a river				ed4f-6314-0f55-e413
	downward	is a kind of		direction								098d-fb47-d982-7a36
a	drinking straw	is a kind of		object								9349-71b6-e9b8-fd21
	driving	is a kind of		skill	for	operating a vehicle						f764-ebbe-8f77-1ea2
a	drop	is a kind of		liquid					small amount			f3d7-58e4-df8d-4c5f
a	droplet	is a kind of	little	drop								82db-e172-d4b8-5aca
a	drought	is a kind of	natural	disaster								3e09-df41-a63a-cf1c
a	drought	is a kind of	slow	environmental change								31b1-33e5-a71c-0f61
a	drought	is a kind of	natural	event								f997-a1ce-5dd5-9716
a	drum	is a kind of		musical instrument								d1b6-8301-bd8c-c627
a	duck	is a kind of		animal								e763-d114-af0e-426c
a	duck	is a kind of		aquatic animal								371e-0bce-867d-1e1a
a	duck	is a kind of		bird								b40f-032c-a3c4-57f2
an	eagle	is a kind of		animal								133f-8977-dfd9-c969
an	eagle	is a kind of		bird								b528-99f7-f98d-4a09
an	eagle	is a kind of		bird							Duplicate. All used deleted.	8ee9-0f70-2826-d99c
an	ear	is a kind of		body part								02a9-6ebd-741c-ddf1
an	earlobe	is a kind of		body part								2c08-7667-3a32-cd76
	Earth	is a kind of		planet								e473-7297-61c1-56fa
	Earth	is a kind of		planet							Duplicate. All used deleted.	1a6d-a427-8ac0-28bf
an	earthquake	is a kind of	natural	event								8129-78ea-abe4-f382
an	earthworm	is a kind of		animal								f6bf-c88d-502b-826b
an	earthworm	is a kind of		decomposer								cf2d-8332-c29b-2c57
the	Eastern Hemisphere	is a kind of		hemisphere				of Earth				0527-8a98-eb69-f5e6
	eating certain foods	is a kind of		habit								26dc-135c-41e9-6a03
an	echo	is a kind of		sound								e9e5-df09-379a-fa17
an	ecosystem	is a kind of		habitat								9156-3212-805b-fd3d
an	egg	is a kind of		food								7eae-fed8-4c36-88aa
an	egg	is a kind of		object								14f6-1b4a-f963-8a50
an	electric car	is a kind of		invention								f829-cd8d-c894-e9ee
an	electric fan	is a kind of		electrical device	for	cooling; ventilation						d259-7bf2-a54b-5195
an	electric toothbrush	is a kind of		electric device								106a-0379-0b23-ab7d
	electrical energy	is a kind of		energy								b5ca-9f64-d6d6-6783
an	electromagnet	is a kind of	electric	magnet								efca-82f8-2845-8de5
an	electron	is a kind of	charged	particle								7663-f110-4072-8d48
an	element	is a kind of		material								e384-486e-8a78-a853
	elements	are a kind of		substance								4706-54ea-c8d6-bedd
an	energy source	is a kind of		resource								044f-98c1-07d1-2e57
an	environment	is a kind of		place								fc8a-1dc7-a746-de58
an	eraser	is a kind of		solid								0164-3d03-ab81-9b9a
	erosion	is a kind of		change								e28b-677c-4a92-cf3b
	erosion	is a kind of		destructive force								818d-694a-356a-68bb
	erosion	is a kind of		process								7fff-260d-92e0-8f87
an	estuary	is a kind of		body of water								95ee-8457-ae77-ae9a
	evaporation	is a kind of		process								bfeb-fb56-8937-91c9
an	event	is a kind of		action								d3ac-d13c-97bb-6a5a
the	excretory system	is a kind of	body	system								023e-be5e-200d-d253
	exercise	is a kind of	physical	activity								c408-fd09-500e-0867
	exercising	is a kind of		habit								7069-dcda-4749-8fe9
	expand	is a kind of		change				in volume				57fc-8994-cc18-9090
	eye color	is a kind of		inherited characteristic							Moved to PROP-INHERITEDLEARNED	19cd-251d-7145-af81
an	eyeglass lens	is a kind of		object								93f3-4dd8-30f7-de3f
	fall	is a kind of		season								8c3a-1f07-c11d-ad88
a	farmer	is a kind of		human								f764-c0c4-fc12-70f2
	farming	is a kind of		process								9963-e79f-4516-551a
a	fence	is a kind of		object								b241-1f01-1b84-2601
a	fern	is a kind of		plant								9a85-698e-680e-5033
	fiber	is a kind of		material								04a7-76c0-16a3-fbb0
a	field	is a kind of		environment								2a18-601d-51f0-3abc
a	field	is a kind of		environment							Duplicate. All used deleted. 	b880-7186-8fd7-c440
a	field	is a kind of		habitat								1368-2e1b-eb74-f182
a	filter	is a kind of		tool	for	separating liquid from solid particles						f349-c742-9e3b-e235
	fire	is a kind of		chemical reaction								6cf1-9d92-5a26-93fd
a	first quarter	is a kind of		phase of the moon								a62b-415d-357f-995a
a	fish	is a kind of		animal								9526-aecc-22b2-4b6a
a	fish	is a kind of		animal							Duplicate. All used deleted. 	0bc0-31f6-513b-ff06
a	fish	is a kind of		aquatic animal								a94e-e849-c066-fecd
	fish	is a kind of		meat								5298-d80f-5675-6ea3
a	fish	is a kind of		scaled animal								7ec2-c1a0-5e6d-55eb
a	flagpole	is a kind of		object								35d1-8c12-878d-beb6
	flammability	is a kind of	chemical	property								6583-a76d-4f3f-b4f0
a	flashlight	is a kind of	electrical	device								130a-ea4e-6de1-a4af
a	flashlight	is a kind of		tool								54d6-953e-c432-50de
a	flipper	is a kind of		limb								efe5-2110-2946-4748
	floating on water	is a kind of		adaptation								fb07-29fd-92ad-c6bb
	flooding	is a kind of		change								ec04-9eb8-f263-13ea
a	floodplain	is a kind of		land; landform								e4d7-20bc-aa47-3dd9
the	floor	is a kind of		object								785d-6676-9d5d-78b2
a	flower	is a kind of		plant								e337-f5c8-75aa-81b6
	flowing	is a kind of		motion								a52a-1b59-1f8c-028e
a	flute	is a kind of	musical	instrument								e199-cb9e-c3be-c3de
a	fly	is a kind of		insect								dad4-aeac-6f8a-c42b
	flying	is a kind of		motion			air					464c-d7c3-7c7d-8ae7
	food	is a kind of		chemical energy								c457-baf0-ed17-9213
	food	is a kind of		object								dd4a-59cf-dde4-11b2
	food	is a kind of		resource								6cf8-4a91-b857-9203
	food	is a kind of		substance								c31f-f938-8a69-233b
	food poisoning	is a kind of		illness								ccdf-6c73-fb7c-ab36
a	food preference	is a kind of		preference								c01f-8454-a55a-ac57
a	forest	is a kind of		ecosystem								e58d-03a1-b94d-942d
a	forest	is a kind of		environment								b5d1-0f14-f32e-c6b4
a	fork	is a kind of		object								8fae-9711-61b9-fce8
