[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
	formation of a state of matter	is a kind of		process								5ebf-99ed-deef-f31d
the	formation of rock	is a kind of		process								6745-a12f-f936-8192
the	formation of something	is a kind of		process								402b-f67a-2f5a-0a05
	forming something	is a kind of		change								fd3c-8fc5-fc72-8ccf
a	fox	is a kind of		animal								9714-412f-bfe4-c7ab
	freckles	is a kind of		inherited characteristic								36f8-40f6-3ae3-9524
	freezing point	is a kind of	physical	property								d3b3-ecd0-5b4d-bedf
	friction	is a kind of		force								dc6a-e211-23ac-d827
a	frog	is a kind of		amphibian								37e7-fd9e-4591-1258
a	frog	is a kind of		animal								9e89-73fd-66d5-18e2
a	frog	is a kind of		aquatic animal								59c6-0fc8-f645-a67b
a	frog	is a kind of	adult	form				of a frog			Moved to Proto-Instances	c04e-31db-cf48-5a24
	frosting	is a kind of		material								a3d0-8bed-e536-0fd9
	fruit	is a kind of		food								d1e4-c4e1-111b-0f34
a	fruit	is a kind of		object								16ce-a772-1577-f0e3
	fruit trees	are a kind of		crop								59c5-767d-fe82-f747
	frying food	is a kind of		cooking								9793-b861-bc67-0e67
	fuel	is a kind of		energy source								1b14-afc4-9d2b-8dbd
	fuel supply	is a kind of		resource								1aed-3c74-88e1-9d96
a	full moon	is a kind of		phase of the moon								061d-1ec6-4a7a-9f63
a	function	is a kind of		characteristic								7697-a428-b299-c144
a	fungus	is a kind of		living thing								4ae9-5a73-3f04-48f7
	gas	is a kind of		state of matter								aa73-331e-e970-c934
	gas	is a kind of		substance								6c6f-b690-6b57-aab6
a	germ	is a kind of	harmful	substance								61e4-bb67-a031-8154
a	gill	is a kind of		organ	for	breathing water						3756-21fd-e448-dbfc
a	gill	is a kind of		organ							Duplicate. All used deleted. 	ba09-b38e-44af-2b6c
	gills	are a kind of		adaptation	for	getting oxygen		underwater				9f02-a641-79a9-d4ec
a	girl	is a kind of		animal								9a26-1df3-851d-e9e4
a	girl	is a kind of	young; female	human								a50c-ba38-bbe4-12c1
a	girl	is a kind of		organism								6d01-d990-df90-0a6d
a	glacier	is a kind of		body of water								7b89-9ee6-46e3-69f9
	glass	is a kind of	open	container								6198-fec8-e40b-1993
	glass	is a kind of		object								d709-d70e-7d0f-3f54
a	glove	is a kind of		tool								ca30-823e-fdba-2aab
	goggles	are a kind of		object								95d8-d1fb-bd0a-1a66
	gold	is a kind of		element								eb57-77f3-768e-3665
	gold	is a kind of		solid								41ff-4240-13ce-27e0
a	goldfish	is a kind of		fish								502a-ad74-1aed-3da5
a	goose	is a kind of		bird								73a9-a826-930a-758c
a	gourd	is a kind of		fruit								3f08-d790-ccf8-af59
a	graduated cylinder	is a kind of		instrument	for	measuring volume of liquids or objects						8fee-0f80-9fbf-df1d
a	gram 	is a kind of		unit	for	measuring mass						d2f9-367f-2c90-fbcd
the	Grand Canyon	is a kind of		canyon								bea1-3b11-3955-ffaf
	grass	is a kind of	green	plant								9d2f-b39b-3921-a54c
a	grassland	is a kind of		environment								4fd1-9865-f350-6e2c
	gravity	is a kind of		force								1271-8178-87cf-045c
	green	is a kind of		color								8f8e-37fa-0093-b7ef
	green plants	are a kind of		producer								f812-4338-e44b-e685
a	greenhouse	is a kind of		shelter	for	plants						4349-2e73-8808-3750
	ground water	is a kind of		water								a4ef-def5-ee56-4125
	growing	is a kind of		activity								3b23-bc5c-3332-4508
	growing	is a kind of		process								f116-778d-7f8a-6ec6
	growth	is a kind of		change								a214-a651-6eff-93dd
a	guitar	is a kind of		musical instrument								71b4-e5fc-3ed1-a1c0
	hail	is a kind of		precipitation							Duplicate. All used deleted. 	38db-5b79-b0cf-2898
	hail	is a kind of		precipitation; ice								cb4c-5229-e5b9-6408
a	hair	is a kind of		object								12a1-83f7-fc55-95a5
a	hand	is a kind of		object								d691-82fb-2145-80e4
a	hand dryer	is a kind of		electrical device	for	drying hair						2728-2bde-6c00-9dd0
a	handle	is a kind of		object								8985-7fba-d15d-a387
a	hare	is a kind of		animal								6f73-8241-0aaf-24ef
a	hatchling	is a kind of	newborn; baby; young	bird								d68d-0b43-19d2-5526
a	hawk	is a kind of		animal								78d2-c53f-0244-23c2
a	hawk	is a kind of		bird								8e51-19a5-59e8-ff11
	hearing	is a kind of		sense								e3f1-e16c-dd80-32ea
a	heart	is a kind of		organ								9078-ba6c-fdad-d876
	heat	is a kind of		energy								9e7d-986e-6af1-5ac1
a	hen	is a kind of	female adult	chicken								b0ce-cf5b-dba3-3b9b
	hiding	is a kind of		protection				against predators; from predators				19da-4665-c208-b9ae
the	Himalayas	are a kind of		mountain range								81c7-3170-da45-e21d
a	hit	is a kind of		touch								c6d0-b0ba-ba3b-db1c
a	home	is a kind of		building								4d1f-ad79-3299-bfb4
a	homeowner	is a kind of		human								c71e-1ca8-f860-d544
a	horned lizard	is a kind of		lizard								e59c-b8d6-ebb0-b796
a	hot plate	is a kind of		instrument								2326-f572-9b29-58d5
	hours	are a kind of		unit	for	measuring time						122e-b36b-0183-80c7
a	house	is a kind of		home								8b98-86c4-6f2f-94ad
	household appliances	are a kind of	electrical	device								53c2-3d92-5b32-6e64
	how long something takes	is a kind of		measurement				of time				cc92-3103-fbe1-a87a
a	hum	is a kind of		sound								26bf-b84f-072a-b68a
a	human	is a kind of		animal								4253-4b9e-1e5f-1742
a	human	is a kind of		mammal								7160-91ab-6d7e-14c8
	humidity	is a kind of		water vapor								06e7-3920-6321-983c
a	hummingbird	is a kind of		animal								b631-3f9d-d4ae-c311
a	hummingbird	is a kind of		bird								3ed3-ffdd-5807-f126
	hunting	is a kind of		action								317f-06e6-5e83-8d81
	hunting; scavenging	is a kind of		skill								dc9f-1fff-15e4-352a
a	hurricane	is a kind of		storm								65b3-3bde-505c-db9e
	hydropower	is a kind of	alternative	energy resource								c844-5280-4695-c6c6
	ice	is a kind of		food								d248-e9d4-d37d-546e
	ice	is a kind of		object								2959-08e0-430c-0f87
	ice	is a kind of		solid								7ef1-c28b-22e3-3edc
	ice	is a kind of	solid	water					below 0 degrees celsius		Moved to PROTO-PROP-STATESOFMATTER1	9ad4-e422-5211-f98c
	ice cream	is a kind of		solid								ee58-1bbb-62c4-2c84
an	ice cube	is a kind of		object								d5e1-2384-26cc-edb9
an	ice cube	is a kind of		solid								a1a9-97db-a771-1c2b
	ice wedging	is a kind of		mechanical weathering								b525-3c38-249c-23da
	igneous	is a kind of		rock								075f-d7cb-993c-ade1
an	iguana	is a kind of		lizard								912b-606c-6d31-05e3
an	inclined plane	is a kind of	simple	machine								7f2c-ec1b-0791-4c0d
an	increase	is a kind of		change								782a-53e7-c1c7-aae0
	increasing	is a kind of		change							Duplicate (by lemmatizer). All used deleted.	6e22-28fd-6947-c23d
an	inexhaustible resource	is a kind of	renewable	resource								740e-3d3d-bed5-6528
an	inherited characteristic	is a kind of		characteristic								33f5-726f-b706-4a01
	inherited characteristics	are a kind of		hereditary information								b37b-770d-c526-1766
an	insect	is a kind of		animal								56bd-8c40-3dae-d3e9
an	instinctive behavior	is a kind of		inherited characteristic; behavioral adaptation								fdb9-edf0-6759-5f09
an	insulator	is a kind of		material								a651-4b86-5d6a-2327
the	intensity of sunlight	is a kind of	seasonal	weather pattern								be92-1d31-0922-e113
an	invention	is a kind of		tool								9ca1-8cf1-b7b6-526c
	iron	is a kind of		element								bb4d-ea33-08e1-7106
	iron	is a kind of		metal								de4c-ca36-c336-540f
	iron	is a kind of		mineral								564d-448d-05b5-998e
	iron	is a kind of		solid								89f4-0fad-6afc-2199
an	island	is a kind of		landform								84ea-d95d-42c4-a8fb
an	ivy plant	is a kind of		plant								b7fe-a475-0233-e760
a	jackrabbit	is a kind of		rabbit								1399-e19b-a5ea-ed76
a	jaguar	is a kind of	big	cat								f3fc-b375-1da8-64a3
a	jar	is a kind of		container								3bdb-25d7-3c9f-958b
	juice	is a kind of		liquid								14c4-c640-5d74-79a3
	juice	is a kind of		matter								b481-9087-8ebc-502d
	juice	is a kind of		solution								b52b-5ade-22b4-b42f
	jumping rope	is a kind of		skill								b70f-fde1-f800-1809
	June	is a kind of		month								53f9-1eba-2408-8f4f
	Jupiter	is a kind of		planet								b772-8846-82c7-f2d8
a	kangaroo	is a kind of		animal								f40e-296d-660b-f8df
a	kazoo	is a kind of		musical instrument								1d74-9f8e-c159-135b
a	kick	is a kind of		push								2c22-fd47-fae8-9fec
a	kidney	is a kind of		organ				in an animal				1bbb-9096-773e-2c2f
a	kilogram	is a kind of		unit	for	measuring mass						e9cb-fdf8-abe6-7d9a
a	kitten	is a kind of	young; baby	cat							Moved to Proto-Instances	b52c-5991-8e05-236b
	laboratory apron; laboratory coat	is a kind of	safety	gear	for	protecting a person		during an experiment				0025-3e37-acf0-467a
a	ladybug	is a kind of		insect								cad3-7779-cc28-1338
a	lake	is a kind of		body of water								5d6a-544c-b296-832e
	land	is a kind of		environment								14d6-a024-da1b-d3d6
	land	is a kind of		landform								d495-e54a-9fd2-0acc
a	landform	is a kind of	natural	formation								26bf-462e-a8fb-f637
a	landform	is a kind of		object								197a-5152-85d4-6ed5
a	landform	is a kind of		place								52e5-9469-b294-d665
a	landslide	is a kind of	natural	event								17c2-1a0b-fa3f-63cb
	large leaves	are a kind of		adaptation	for	absorbing sunlight						0fef-e04d-dcf6-d43a
a	larva	is a kind of	young; baby	insect								be4f-b918-8f3b-6a59
a	laser	is a kind of		device	for	producing light						3168-bafc-668a-35fc
a	last quarter	is a kind of		phase of the moon								0cac-60e6-ae3d-50ec
	laying eggs	is a kind of		property				of an animal				d129-c045-1013-af8c
	lead	is a kind of		element								d08f-9cae-ad54-80ed
a	leaf	is a kind of		object								08e0-810a-daa2-5a48
a	leaf	is a kind of		plant								ea5f-42f2-93e0-9520
a	learned characteristic	is a kind of		acquired characteristic								ef15-b075-f83c-0d12
	leather	is a kind of	natural	resource								ebb0-2d7d-5836-60f1
	leaves changing color	is a kind of		process								189c-21f9-3228-3f0c
	leaving	is a kind of		movement								b505-0192-dee3-0797
a	lemon tree	is a kind of		plant								9cf1-bc5a-d350-5541
	Leo	is a kind of		constellation								986b-2bb0-3244-7133
a	lever	is a kind of		simple machine								9d48-4f8c-09fc-ea0d
a	lever	is a kind of		simple machine							Dup. All used deleted. 	ffc8-91cc-45f1-f4b1
	light	is a kind of		energy								f742-384b-744c-10a9
	light	is a kind of		energy							Dup. All used deleted. 	ca59-5c7a-3f3d-6f48
	light	is a kind of	nonliving	thing								c035-787b-ecbc-b968
	light	is a kind of		wave								7830-1dcb-42c6-d8dc
a	light bulb	is a kind of	electrical	device								00a4-b16a-aa4d-893d
a	light bulb	is a kind of		tool	for	seeing in the dark						b939-e20d-de35-8401
	lightning	is a kind of	electrical	discharge								44c6-34b2-4f88-7519
	lightning	is a kind of		electricity								c56e-40f5-5a3e-12cf
	limestone	is a kind of	sedimentary	rock								f5b2-aca4-88b1-e3a4
	limiting something	is a kind of		activity								8784-af6f-9679-ba17
a	line graph	is a kind of		graph								5cf5-79ec-c7f8-440d
a	lion	is a kind of		mammal								eca2-7d3f-2d0b-9f93
	liquid	is a kind of		state of matter								f7e9-c6f8-892b-3496
a	liquid	is a kind of		substance								3f2b-87bb-f73a-3e5d
	literacy	is a kind of		skill	for	reading and writing						53ef-434c-c465-3752
	liters	are a kind of		unit	for	measuring volume of liquids						5c13-e1a5-bbf3-8669
a	living thing	is a kind of		object								4eac-892f-ecd2-6e0d
a	lizard	is a kind of		animal								33a0-5ab1-14b3-6bf8
a	load of bricks	is a kind of		object								405a-72ae-da94-0c7d
	loss	is a kind of		change								4ed7-fd33-f63a-573f
	lowering	is a kind of		motion								b1b9-3449-128c-c247
	lunch	is a kind of		meal								a7a5-0519-c54b-1f3a
a	lung	is a kind of		organ	for	breathing air						e7d7-9393-dfc8-98bf
a	magnet	is a kind of		object								fe8e-2342-2aef-4d7b
a	magnetic field	is a kind of		force								a00a-1166-57c3-f759
	magnetism	is a kind of		force								9381-2aee-2b0c-d21c
	magnetism	is a kind of	physical	property								68c8-0c77-7fa9-5633
a	magnifying glass	is a kind of		tool	for	observing small things						685f-4657-44af-cee7
a	mammal	is a kind of		animal								2a1f-7883-c269-3736
a	maple tree	is a kind of		tree								11f2-4ff8-e494-7018
	marble	is a kind of		object; material								1d1c-a940-405e-dd50
a	marsh	is a kind of		body of water								a142-f9f0-f59e-1786
a	marsh willow herb	is a kind of		plant								ab88-7ab1-d6b7-0e6c
	Maryland	is a kind of		region								6162-d2c2-b79d-8b17
	material composition	is a kind of	chemical	property								de82-e643-178a-0a7b
a	meadow	is a kind of		environment								3d8c-f05c-51e2-38f2
a	measurement	is a kind of		data								6fc4-8091-f720-3e33
	measuring	is a kind of		observing								8d99-ff62-bcc7-7086
	measuring	is a kind of	science	skill								a3a3-2470-8532-b386
a	measuring cup	is a kind of		tool	for	measuring the volume of substances						c7d1-4ec6-f471-6218
	mechanical energy	is a kind of		energy								3144-f8f2-43a4-8712
	mechanical weathering	is a kind of		weathering								cdbb-0393-4277-215d
	melting	is a kind of		phase change								fae9-3cca-92cd-bf20
	melting	is a kind of		process								36f6-e94f-8780-1897
	metal	is a kind of		material								95c4-ec5e-bce9-afd8
	metal	is a kind of	natural	resource								6f65-9a3a-f9f4-0c74
	metamorphic	is a kind of		rock								28e0-0efa-52fc-4134
	metamorphic rock	is a kind of		rock								96ab-0b82-8d18-ca9a
	metamorphosed rock	is a kind of		rock								ad7e-df9b-5e06-8e42
	metamorphosis	is a kind of		process								ad2b-8827-7838-449a
a	meter	is a kind of		unit	for	measuring distance; measuring length						65b3-196a-be1f-b9be
a	meter stick	is a kind of		tool	for	measuring length; measuring distance						1958-4336-80f2-90bd
	mica	is a kind of		mineral								d332-396d-4f4f-cda0
a	microorganism	is a kind of		decomposer								a817-2b63-7962-2e34
a	microscope	is a kind of		tool	for	observing small things						28d0-868d-1eee-0150
	migration	is a kind of		adaptation								0b85-1757-0b30-a8a2
	migration	is a kind of		behavior								fcee-e796-d013-02ae
	miles	are a kind of		unit	for	measuring distance						0b1f-b391-f485-1e6a
	milk	is a kind of		food								5db9-95b3-3826-14c0
	milliliters	is a kind of		unit	for	measuring volume of liquids						2a97-db62-2708-bd9d
a	mineral	is a kind of	solid; natural	material								f294-6f62-2e34-4af0
a	mineral	is a kind of		object								8435-aecd-2348-6182
	minutes	are a kind of		unit	for	measuring time						09c7-65ed-43a7-93c0
a	mirror	is a kind of	reflective	object								4478-dd94-9b15-a346
the	Mississippi Delta	is a kind of		delta								2301-85aa-b20b-8250
	mixing	is a kind of		activity								39b7-6128-a6ae-5d97
	moisture	is a kind of	environmental	factor								926e-6eea-3b5a-f747
	mold	is a kind of		fungus								0d28-3295-e473-c310
a	molecule	is a kind of		object								e740-00aa-e89d-8af1
	Monday	is a kind of		day of the week								2c23-dc4d-c618-2570
a	monkey	is a kind of		mammal								b412-34c8-f228-654b
	months	are a kind of		unit	for	measuring time						a3c6-f26b-2009-9503
a	moon	is a kind of	celestial	object; body								e2ec-1655-c1fd-cb58
a	moon	is a kind of		satellite								a0cd-50c8-3696-fc4b
a	moose	is a kind of		animal								a516-6fce-fea3-4280
a	morning glory	is a kind of		vine								8e4b-7a86-b2a2-8e1c
a	mosquito	is a kind of		insect								756d-c15b-040c-76e2
a	moth	is a kind of		insect								4c05-ce97-15e0-e7d5
a	motion	is a kind of		event; action								e901-c400-086c-8302
a	mountain	is a kind of		landform								0e02-5e2b-3793-96d3
a	mountain chorus frog	is a kind of		animal								f050-0c35-8aca-2a52
a	mountain chorus frog	is a kind of		frog								acb4-aae4-4bf6-25e0
a	mountain; mountain range	is a kind of		environment								2fcb-3708-8590-8eee
a	mouse	is a kind of		animal								782f-7770-b8be-f40e
a	mouse	is a kind of		mammal								7ee2-781c-6f14-a31a
	movement	is a kind of		change								e9d9-325b-c54c-5f88
	movements of celestial bodies	are a kind of		event								e30e-09e8-1ee7-fdf6
a	multicellular organism	is a kind of		living thing								a92e-cb62-22ee-5ddf
the	muscular system	is a kind of	body	system								5a16-c4db-72e5-13ff
a	mushroom	is a kind of		fungus								ea91-5664-cefc-e7ee
a	mushroom	is a kind of		living thing								a666-e28c-98d8-169b
a	musical instrument	is a kind of		object								300d-4b3b-57dd-2056
a	mussel	is a kind of	water	animal								0560-dd88-068a-fc05
a	nail	is a kind of		object								b3d3-c3da-3c51-659e
	natural gas	is a kind of		fuel								2355-0cfa-86f8-5767
	natural gas	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	1435-7afa-ec2f-fb78
a	natural resource	is a kind of		environmental factor								aa69-b4c1-b1e1-9000
a	nature preserve	is a kind of	protected	area								baab-4c47-5b41-9747
a	nature preserve	is a kind of		habitat								2b64-01c6-e21e-b32b
a	needle	is a kind of		object								7b15-d12e-457b-2d61
the	nervous system	is a kind of	body	system								0fda-acea-84f6-b616
a	nest	is a kind of		resource				for a bird				fe0e-38e0-f82f-e92a
a	nest	is a kind of		shelter	for	birds						af00-5b27-b27b-3f63
	nest building	is a kind of		adaptation								b97c-e53f-7627-7e7e
a	new moon	is a kind of		phase of the moon								cb3b-8b0b-8cfe-a3e2
	nitrogen	is a kind of		element								2d67-baa5-abb9-5015
	nonmetallic	is a kind of		luster								81dc-99bd-7476-6fea
	noon	is a kind of		time				of day				655d-4374-fd1d-a906
	Norfolk	is a kind of		town								aa31-b3ca-a8ab-afbd
	north	is a kind of		direction								ed71-4003-23bd-6b98
the	North Pole	is a kind of		location								2a94-c730-703f-d4e6
the	Northern Hemisphere	is a kind of		hemisphere				of Earth				8745-b081-65b5-bc99
	nuclear fusion	is a kind of	nuclear	reaction								bf6e-59c8-a896-c3cb
a	nutrient	is a kind of		chemical compound								22fa-ad68-2139-24d0
	nutrients	are a kind of		matter								3e9a-e391-5052-6b55
	nutrients	are a kind of		resource								994e-e3fd-47a0-decb
	nuts	are a kind of		fruit								8160-3018-c7df-ea68
an	oak	is a kind of		tree								02a0-8f5c-4e3a-a064
an	ocean	is a kind of		body of water								466a-2c15-ac54-8361
an	octopus	is a kind of		animal								d0f6-3d4b-e8bf-dcf4
	oil	is a kind of	fossil	fuel								3092-233a-f999-2512
	oil	is a kind of		liquid								2eff-c9c0-c7aa-f4b2
	oil	is a kind of		liquid								7779-45c7-0fb8-b534
	oil	is a kind of		pollutant								3879-d557-003d-491a
	oil	is a kind of	nonrenewable	resource							Moved to PROP-RESOURCES-RENEWABLE	d8d9-4774-8a52-3a0d
	oil	is a kind of		substance								2806-8957-c846-253b
	one	is a kind of		number								9294-541c-2211-ce63
an	onion	is a kind of		vegetable								1871-0cbf-610d-1e47
	opposite	is a kind of		different								f4b8-4f96-90d9-7e04
	orange	is a kind of		color								103a-3db0-f4b2-d7a7
an	orange tree	is a kind of		tree								de9a-8956-c029-70af
an	orbit	is a kind of	regular	path								c1c4-26a9-2671-aebc
an	osprey	is a kind of		bird								150d-8fc1-9d5d-32da
an	otter	is a kind of	aquatic	animal								a328-84da-ecad-102f
an	ounce	is a kind of		unit	for	measuring mass						0a48-259f-8e93-894c
an	owl	is a kind of		bird								4e05-518c-0615-1082
	oxygen	is a kind of		gas								16b7-673f-bc0d-ed99
	oxygen 	is a kind of		element								936b-92a1-0e96-0846
a	pail	is a kind of		container								3f9b-f0b8-3284-7aca
a	palm tree	is a kind of		tree								9ad6-aa1b-0ea4-f31a
a	pan	is a kind of		object								aeeb-c836-d4a0-9a0c
a	pan;frying pan	is a kind of		container	for	cooking; food						a18a-21be-3303-f9b8
a	panel	is a kind of		object								1258-c7db-9d8e-88f3
	paper	is a kind of		material								1c5c-3f13-e713-63f5
a	paper	is a kind of		object								9098-c80a-ed21-5447
a	paper bag	is a kind of		object								55b0-655c-6c67-2cf5
a	paper clip	is a kind of		object								a5e7-8257-cf9d-c8ef
a	park	is a kind of		environment								32c3-1671-f654-dcb7
a	particle	is a kind of		object								d4a7-ea98-8609-0e2d
	particles in objects	are a kind of		matter								1278-7e0e-79a5-2547
	path	is a kind of		pathway								1ad9-0754-9bf3-7610
a	pathway	is a kind of		plane								56ab-4514-2109-0942
a	peach tree	is a kind of		tree								7886-d60a-8794-0c18
	peas	are a kind of		plant								bac2-9c22-0662-4dcd
	peas	is a kind of		seed								9711-e2b0-af9e-1208
a	pebble	is a kind of	small	rock								9815-d368-af06-bf1c
	pebbles	are a kind of		material								7fcb-f383-0c03-e6a0
a	pecan tree	is a kind of		tree								a51c-ef9e-4258-374f
a	pedal	is a kind of		lever								d84c-d7b5-8ac9-478f
a	pencil	is a kind of		object								e729-2ae7-04b3-9240
	pepper	is a kind of		solid								ecc4-5d16-aaa4-3595
a	person	is a kind of		animal								b749-39eb-d9be-228a
a	phase change	is a kind of	physical	change								b6d6-89d9-43a5-fd91
	photosynthesis	is a kind of		process								7309-3070-fa70-cad9
a	physicist	is a kind of		scientist								add6-007e-31dc-2dda
a	piano	is a kind of	musical	instrument								1ccb-478a-9689-4e12
a	piece of something	is a kind of		object								52a3-125f-af5d-1f1c
	pile	is a kind of		motion								29b4-6a08-3db7-782f
	piles of rock	are a kind of		landform								c7d3-bf39-278c-9647
a	pine tree	is a kind of		tree								8d1a-ae77-8695-f8b6
a	pipe	is a kind of		object								43aa-47f0-c8a3-dce6
a	plain	is a kind of		environment								1bd2-1b6a-cc78-3af3
a	planet	is a kind of	celestial	object; body								22a2-1029-702e-a29a
a	plankton	is a kind of		animal								7821-1a7c-405f-2393
a	plant	is a kind of		living thing								2e89-d8e8-a8fb-9acc
a	plant	is a kind of		living thing							Duplicate. All used deleted.	7076-a98b-7c81-2cae
a	plant	is a kind of		organism								26c3-eec4-e1d0-fac5
a	plant cell	is a kind of		cell								816a-0510-1046-441e
	planting	is a kind of	human	action								06da-24f1-4d68-fccc
	planting crops	is a kind of		activity								fbe1-1231-31db-cc93
	plants	are a kind of		resource								091e-de33-5241-07bb
	plants appearing on Earth	is a kind of		event								f608-68a4-9b75-3800
	plasma	is a kind of		state of matter								fcce-8881-7921-d9d2
	plastic	is a kind of		electrical insulator								9710-2f26-70ba-a122
	plastic	is a kind of		material				made by humans				b24b-be1d-9e0d-4037
	plate tectonics	is a kind of		process								e490-5554-4225-68e2
	Pluto	is a kind of		dwarf planet								1230-534f-c1fb-8a2a
a	poison	is a kind of		substance								f184-e4d0-25d9-d4c7
a	polar bear	is a kind of		bear								cef3-cbfc-0564-ae29
	pollinating	is a kind of		function								a99f-fa5c-c233-1d3c
	pollination	is a kind of		process	for	plant reproduction						f55b-507a-c8f0-2acf
	polluting	is a kind of		activity								0a09-b3f6-9229-9511
	polluting gasses	are a kind of		pollution								5509-45e6-fb83-8003
a	pollutions standard	is a kind of		standard	for	reducing	pollutants emitted	by vehicles; by factories				1fa0-bd7e-3b50-b250
a	pond	is a kind of		body of water								2a41-7224-fbc2-ba94
a	pond	is a kind of		environment								e37d-8beb-fc76-3e82
a	pond	is a kind of		habitat								9f21-978a-56e9-2a20
a	pool	is a kind of		body of water								7ebb-7a94-af1e-9fa9
a	pot	is a kind of		container								4a8d-ee0c-6d0f-d1e8
a	pot	is a kind of		object								96a6-5b63-d917-e649
a	pound	is a kind of		unit	for	measuring mass						dd24-6f15-cb10-52a2
	pouring	is a kind of		activity								1d93-ec14-264b-13bf
a	prairie dog	is a kind of		animal								8130-7bd7-79e3-67cf
	precipitation	is a kind of	natural	occurrence; cause								83c7-bb21-6c58-9534
	precipitation	is a kind of		weather								86b0-5c6f-cd54-4d52
a	predator	is a kind of		animal								8ece-a376-c847-9127
a	predator	is a kind of		enemy				to its prey				0d35-1653-d1f5-29f2
	prey	is a kind of		food	for	predators						d719-81ad-03ff-57f0
	prey 	is a kind of		animal								8c3a-8bf8-70a4-5d30
a	prism	is a kind of		object								9511-f01b-f849-79ca
a	prism	is a kind of		tool	for	refracting light						237d-6b78-ad88-e3b4
a	process	is a kind of		event								3b7f-815d-511b-c7bb
a	producer	is a kind of		living thing								6307-398c-de48-8773
	producer	is a kind of		role				in the food chain process; in an ecosystem				3bad-691a-15c4-44f6
	producing	is a kind of		function								541c-2eac-6ed4-ea6a
a	product	is a kind of		object								e9b5-edaa-0d49-f73a
a	prong	is a kind of		object								d9e7-bba2-e42c-95af
