ACTION	[FILL] a	OBJECT/AGENT/PROCESS	SCOPE	QUANTIFIER	VERB (requires)	ACTION	QUANTITY/VALUE	[FILL] a	OBJECT	SCOPE	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID
	an	animal			requires				air		for	survival							e918-e402-e4c8-3977
	an	animal			requires				energy		to	move							838c-30bf-9b24-714b
	an	animal			needs to	eat			food		for	nutrients							7d29-0a2c-6959-b1dd
	an	animal			requires			a	habitat		for	survival							fc71-7a5d-6e7b-5f5a
	an	animal			requires		enough		nutrients		to	maintain good health; survive							7db0-1827-aaaa-cc30
	an	animal			requires				nutrients		to	grow and heal							12ed-f3da-04db-3ddc
	an	animal			requires				oxygen		for	survival; to breathe							f59c-9a1b-f57b-d689
	an	animal			requires				shelter										44e1-a4d0-f534-fb1b
	an	animal		usually	requires			a	warm body temperature		for	survival							b08a-c1bc-23ee-1815
	an	animal			requires				warmth		for	survival							2280-1ce3-3320-9547
	an	animal			needs to	move					to	find shelter							df9f-982c-aa68-428a
	an	animal; living thing			requires				nutrients		for	survival							80de-489f-48b2-16f4
		animals		usually	require	removing			salt	from water	for	drinking							d3bf-8edc-c2a9-df49
		animals; living things			require				water		for	survival							732f-cb0b-50b4-ad0d
	an	aquatic animal; aquatic plant			requires		great amounts of		water		to	survive; thrive							335b-df55-9aa4-74ac
pedalling	a	bicycle			requires	moving		the	pedals						in a circular motion				aa32-7fa4-4468-3d58
		broken bones			require				healing										55ad-db14-b2ff-b591
		cells			require				oxygen		for	fuel							c37e-1c44-bf2c-3755
looking in	a	container		sometimes	requires	opening			that container										a280-cb5c-23dc-75f5
planting		crops			requires	growing			crops										be6c-e07f-062e-3207
		detailed observation	of celestial objects		requires			a	telescope										44f4-634f-79d8-75d7
	an	egg			requires				warmth		to	survive; hatch; develop							a395-cfde-0f24-1823
		electric devices			require				electrical energy		to	function							0584-393a-7b86-9c70
	an	electrical device			requires				electricity		to	turn on							4ba9-2d5a-0284-2882
powering	an	electrical device	with a battery		requires			a	path	for electricity	to	flow	through	a closed circuit					0b18-91e7-5692-5753
		electrical insulation			requires	wrapping		a	conductor	in an insulator									6152-0048-10b7-5dd7
producing		electricity		sometimes	requires	burning			oil										524e-2e12-7c8b-f5cb
		experimentation			requires				factors to be kept constant									Low quality. No uses.	7f4b-8d9c-f5a8-1f08
		experimentation			requires	measuring													e1e1-8127-43cc-b6bf
		experimetnation			requires		many		measurements										195d-1a9a-bd8f-5d4d
	a	flashlight			requires			a	source of electricity		to	produce light							e1cb-6dbd-0bf8-8d18
cooking		food			requires	adding			heat energy										3d03-670e-3580-8f82
forming		coal; fossil fuels			requires				decaying vegetation										69e3-9034-d59c-1674
using	a	gasoline engine			requires	burning 			gasoline										1893-0c1c-dddc-e8c4
measuring	the	hardness	of minerals		requires 	scratching			those materials										757d-cd70-0857-0d35
		healing			requires				rest; nutrients; energy										fae2-7a13-e5eb-07b7
removing		hot objects	from a heat source		requires				thermal insulators										4a89-0774-ec0d-d44f
building		housing developments		usually	requires	replacing; destroying			animal habitats										02d9-ec74-0c49-8fcd
	a	human			requires				new information		to	invent things							0f69-e684-8421-00ae
	a	human			requires				sleep; rest		to	be healthy							5b55-22e0-6067-9ef9
		hydropower			requires	damming		a	river										9b27-4e05-92ed-e884
slipping on		ice			requires	walking on			that ice										30eb-7982-028c-4f0f
casting	an	image of an object	through a pinhole onto a screen	does not	require	looking directly at		the	object										9b3e-7893-591c-c45a
		investigation		sometimes	requires				experimentation										e0c1-2f0f-8fa6-28d2
flying	a	kite			requires				wind										d042-a628-d170-532f
performing		lab expiriments accurately			requires	reading; understanding	all		directions						beforehand				c003-e5f0-d0c5-e922
investigating	the	life cycle	of a living thing		requires				that living thing to be alive										24a0-6fbe-c3ae-d6ee
	a	light bulb			requires				electrical energy		to	produce light							737b-c59a-2215-29e1
		living things		all	require				energy		for	survival							54ed-5fd9-0f44-64b7
		living things			require				respiration		to	use energy							995d-01f9-c9a9-9896
		magnetism		does not	require	contact between			objects		to	act						Use entry in AFFORDANCES	ffdf-9b51-2f63-0791
cutting	a	material		usually	requires	measuring			length										8eef-9fa6-ffe3-c079
studying		moving habits			requires	knowing			location										d5a9-c02e-a6e4-392f
		navigation			requires	knowing			direction										e97b-a0ad-44fb-fbc3
pushing	an	object			requires				force										cd52-a711-b031-51a8
using	an	object		often	requires	creating			that object										5c98-332a-07bc-25e6
recording	an	observation		sometimes	requires	measuring													50a5-5c13-ea54-0220
	an	organism			requires				energy		for	growth; repair							5aba-6d6d-1c38-fe18
creating		paper			requires	cutting down			trees										6b51-f1bc-8a3b-f29a
warning 		people	of something		requires	knowing about; predicting			that something										ddaf-860d-fe67-ae1e
	a	person			requires				instructions		to	assemble			a kit; something				b18d-21e4-cd6b-fc65
using	a	pesticide		usually	requires	spraying			that pesticide						on crops				977b-ea07-b44f-bca9
	a	plant			requires			a	specific climate		to	grow and survive							ca89-72df-289d-eb5a
	an	plant			requires				food		for	survival							3796-e9f2-e94c-634d
	a	plant			requires			a	habitat		for	survival							b7e4-dce3-2bc1-dc3e
	a	plant			requires				photosynthesis		to	grow; survive							fe74-c2b4-98c2-9496
		plant			requires				seed dispersal		for	reproduction							c814-78ab-6951-9f93
	a	plant			requires				soil		for	survival; to grow							5ebe-099f-fd30-b713
	a	plant			requires				space		to	grow							7e26-1fd1-3e55-4816
	a 	plant			requires				sunlight		to 	grow							4480-75c2-5b75-c32a
	a 	plant			requires				sunlight		for	photosynthesis							619e-a5d1-b505-4f69
	a	plant			requires				water		to	grow							3ee7-7f5c-c890-460e
		plant reproduction; seed production			requires				pollination										7b88-0a72-7d90-ea1d
	a	plant; living thing			requires				nutrients		to	grow							085c-28bf-bb51-79e6
	a	plants; living things			require				water		for	survival; to grow							f3ed-dedc-2aad-109c
	a	polar bear			requires		a cold		environment										682c-7e2c-8f66-0543
		pollination			requires				pollinators; pollinating animals										2c1d-72c3-3a94-c25b
popping		popcorn			requires	adding			heat										4102-0f86-9ded-c9db
eating		prey			requires	catching			prey										69cc-d300-368f-169b
answering		questions			requires				information										7717-15e3-f50d-464a
		radiation		does not	require				objects to touch each other									Moved to AFFORDANCES	de3a-8c85-4074-46a8
using	a	raw material		sometimes	requires	absorbing			that raw material										bef0-f566-d2cd-a523
creating	a	simple circuit			requires			a	wire; battery										963a-dc3b-646b-8187
	a	simple machine			requires				mechanical energy		to	function							9ad1-61b5-f824-eac7
		sleeping			requires		less		energy						than being awake				4c78-546e-273d-30c8
toasting		something			requires	adding			heat energy										5023-ad88-20d0-adfa
making		something			requires				resources										4b08-9460-5cec-02ba
counting		something		usually	requires	seeing			that something										6ace-d8ec-0ac5-9dd2
discovering		something		usually	requires	seeing			that something										4274-6c15-d627-27b7
finding		something			requires	sensing			that something										beb5-0b99-d9ac-b8e5
learning about		something		sometimes	requires	observing			that something										d8a6-5c7b-d762-e968
studying 		something		usually	requires	seeing			that something										2530-6efd-e282-feb0
building		something		often	requires	measuring		the	materials										f58a-4d4f-e0ae-6833
calculating		speed			requires	knowing			distance travelled										98dd-55cb-7cfa-5e19
	a	sprinkler			requires				water		to	function							fa4f-3f9e-68fa-1b79
preparing for	a	storm			requires	predicting		the	occurrence	of that storm									bbef-5cd8-4316-7358
testing	the	streak	of a mineral		requires			the	powdered form	of that mineral									c275-7629-09d4-66e3
	a	tadpole			requires				water		to	breathe							c962-dbaf-be19-1b47
building	a	tool			requires	knowing about		the	parts	of that tool									667d-b7b6-7a2f-41ac
	a	tree			requires				space		to	grow							0d05-923d-7ac4-0ae8
	a	tree			requires				sunlight		to	grow							ba77-8e71-e07b-08fe
	a	tripe	in a vehicle		requires	using			that vehicle										ce92-ccfe-ccdf-061f
determining	the	type of an organism			requires	having			information	about that organism									a7a2-bae8-2f22-634d
making	a	valid conclusion	in an investigation		requires			a	testable hypothesis										9975-ef8f-39de-60bf
		vehicles		usually	require				gasoline		to	operate							0bb0-16b1-30de-d0e2
predicting		weather			requires	studying			weater										66f7-f191-3c2b-d38e
	a	wheeled vehicle			requires				smooth surfaces										57ff-11f6-5854-80c5
		wiring			requires			an	electrical conductor										b5f8-afed-3d08-707b
creating		wood-free paper		does not	require	cutting down			trees										c154-63ca-6d35-92b4
measuring					requires	reading		a	measurement										5c44-235c-9a3d-6182
being active					requires				energy										3e47-33d1-5c3d-ae35
running					requires		a lot of		energy										2401-2216-1d73-27d3
seeing					requires				light										e5ab-6c07-c15d-90f2
hunting					requires	seeing; sensing			prey										0857-a14d-3376-70f7
comparing					requires	observing			that something										cafd-1d6e-a47f-022b
building				usually	requires	cutting down			trees										0fb6-467a-43af-1af8
comparing					requires	measuring													5a5b-62f9-095f-8447
determining				often	requires	measuring; observing													fc75-dfcd-e46e-e318
investigating				sometimes	requires	measuring													131b-dab0-cb1e-e896
reading 					requires	seeing													09ac-6563-7f9f-67ca
testing				often	requires	measuring													4478-6d20-87bd-2cd1
